arm	stress_domain	organ_harmonized	lineage_superclass	independent_families
abiotic	aluminum	root	context_not_cell_type	1
abiotic	arsenic	root	context_not_cell_type	1
abiotic	cold	leaf	context_not_cell_type	1
abiotic	combined_cold_high_light	leaf	context_not_cell_type	1
abiotic	combined_heat_drought	leaf	context_not_cell_type	1
abiotic	combined_heat_high_light	leaf	context_not_cell_type	1
abiotic	dehydration	leaf	context_not_cell_type	1
abiotic	dehydration	shoot_or_whole_plant	context_not_cell_type	1
abiotic	drought	leaf	context_not_cell_type	3
abiotic	drought	leaf	epidermal	3
abiotic	drought	leaf	ground_tissue_barrier	3
abiotic	drought	leaf	meristematic	1
abiotic	drought	leaf	photosynthetic_mesophyll	3
abiotic	drought	leaf	vascular_transport	3
abiotic	drought	root	context_not_cell_type	3
abiotic	drought	root	epidermal	1
abiotic	drought	root	ground_tissue_barrier	1
abiotic	drought	root	root_cap	1
abiotic	drought	shoot_or_whole_plant	context_not_cell_type	1
abiotic	drought	shoot_or_whole_plant	epidermal	1
abiotic	drought	shoot_or_whole_plant	ground_tissue_barrier	1
abiotic	drought	shoot_or_whole_plant	vascular_transport	1
abiotic	drought_heat_factorial	leaf	context_not_cell_type	1
abiotic	drought_recovery	leaf	context_not_cell_type	1
abiotic	heat	leaf	context_not_cell_type	2
abiotic	heat	root	epidermal	1
abiotic	heat	root	ground_tissue_barrier	1
abiotic	heat	root	meristematic	1
abiotic	heat	root	root_cap	1
abiotic	heat	root	vascular_transport	1
abiotic	heat	shoot_or_whole_plant	context_not_cell_type	1
abiotic	high_light	leaf	context_not_cell_type	2
abiotic	hormone	leaf	epidermal	1
abiotic	hormone	root	epidermal	1
abiotic	hormone	root	ground_tissue_barrier	1
abiotic	hormone	root	root_cap	1
abiotic	hormone	root	vascular_transport	1
abiotic	humidity	leaf	context_not_cell_type	1
abiotic	hypoxia	root	epidermal	2
abiotic	hypoxia	root	ground_tissue_barrier	2
abiotic	hypoxia	root	meristematic	1
abiotic	hypoxia	root	root_cap	1
abiotic	hypoxia	root	vascular_transport	2
abiotic	hypoxia	shoot_or_whole_plant	epidermal	1
abiotic	hypoxia	shoot_or_whole_plant	photosynthetic_mesophyll	1
abiotic	hypoxia	shoot_or_whole_plant	vascular_transport	1
abiotic	low_temperature_salt	leaf	epidermal	1
abiotic	low_temperature_salt	leaf	vascular_transport	1
abiotic	osmotic	root	context_not_cell_type	1
abiotic	osmotic	root	epidermal	1
abiotic	osmotic	root	ground_tissue_barrier	1
abiotic	osmotic	root	meristematic	1
abiotic	osmotic	root	root_cap	1
abiotic	osmotic	root	vascular_transport	1
abiotic	phosphate_limitation	root	context_not_cell_type	1
abiotic	progressive_drought	leaf	context_not_cell_type	3
abiotic	salt	leaf	epidermal	2
abiotic	salt	leaf	ground_tissue_barrier	2
abiotic	salt	leaf	meristematic	1
abiotic	salt	leaf	photosynthetic_mesophyll	2
abiotic	salt	leaf	vascular_transport	2
abiotic	salt	root	context_not_cell_type	5
abiotic	salt	root	epidermal	6
abiotic	salt	root	ground_tissue_barrier	9
abiotic	salt	root	meristematic	4
abiotic	salt	root	root_cap	6
abiotic	salt	root	vascular_transport	9
abiotic	salt	shoot_or_whole_plant	context_not_cell_type	1
abiotic	soil_compaction	root	context_not_cell_type	1
abiotic	soil_compaction	root	ground_tissue_barrier	1
abiotic	soil_compaction	root	meristematic	1
abiotic	soil_compaction	root	vascular_transport	1
abiotic	submergence	root	context_not_cell_type	1
abiotic	submergence_recovery	root	context_not_cell_type	1
abiotic	water_deficit	root	context_not_cell_type	1
abiotic	water_deficit_recovery	root	context_not_cell_type	1
abiotic	waterlogging	root	context_not_cell_type	1
abiotic	waterlogging_recovery	root	context_not_cell_type	1
biotic	bacterium	leaf	context_not_cell_type	2
biotic	bacterium	leaf	epidermal	2
biotic	bacterium	leaf	photosynthetic_mesophyll	2
biotic	bacterium	leaf	vascular_transport	2
biotic	fungus	coleoptile	context_not_cell_type	1
biotic	fungus	leaf	context_not_cell_type	3
biotic	fungus	leaf	epidermal	3
biotic	fungus	leaf	photosynthetic_mesophyll	3
biotic	fungus	leaf	vascular_transport	2
biotic	nematode	root	context_not_cell_type	2
biotic	nematode	root	epidermal	1
biotic	nematode	root	ground_tissue	1
biotic	nematode	root	root_cap	1
biotic	nematode	root	vascular_transport	1
biotic	protist_clubroot	hypocotyl	vascular_transport	1
biotic	protist_clubroot	petiole	vascular_transport	1
biotic	virus	leaf	context_not_cell_type	3
biotic	virus	leaf	vascular_transport	3
