arm	module	primary_null_families	strict_observed_absolute_sign_balance	strict_null_mean	strict_null_ci95_low	strict_null_ci95_high	strict_empirical_p	strict_empirical_fdr	strict_passes_fdr10	coarse_empirical_fdr	abundance_empirical_fdr	passes_fdr10_all_three_schemes	calibrated_robust_module	integrated_module_evidence_class	observed_minus_strict_null
abiotic	aba	41.0	0.4146341463414634	0.1218536585365853	0.0	0.3170731707317073	0.0019980019980019	0.0099900099900099	True	0.0099900099900099	0.0099900099900099	True	True	calibrated_robust_module	0.2927804878048781
abiotic	aquaporin	41.0	0.0975609756097561	0.087780487804878	0.0	0.2439024390243902	0.4455544455544455	0.495060495060495	False	0.5483405483405484	0.445110445110445	False	False	recurrent_not_null_calibrated	0.009780487804878
abiotic	autophagy_core	41.0	0.1707317073170731	0.0911219512195121	0.0	0.2195121951219512	0.1368631368631368	0.2281052281052281	False	0.2547452547452547	0.4329004329004329	False	False	analysis_sensitive_module	0.079609756097561
abiotic	cell_wall	41.0	0.1219512195121951	0.0965853658536585	0.0	0.2682926829268293	0.3516483516483517	0.495060495060495	False	0.4945054945054944	0.445110445110445	False	False	recurrent_not_null_calibrated	0.0253658536585366
abiotic	heat_shock	41.0	0.5365853658536586	0.0958048780487804	0.0	0.2682926829268293	0.0009990009990009	0.0099900099900099	True	0.0099900099900099	0.0049950049950049	True	True	calibrated_robust_module	0.4407804878048781
abiotic	hormone_crosstalk	41.0	0.2195121951219512	0.0985609756097561	0.0	0.2926829268292683	0.0889110889110889	0.1778221778221778	False	0.2117882117882117	0.1698301698301698	False	False	analysis_sensitive_module	0.120951219512195
abiotic	ion_transport	41.0	0.048780487804878	0.096780487804878	0.0	0.2682926829268293	0.7792207792207793	0.7792207792207793	False	0.7672327672327672	0.7512487512487512	False	False	recurrent_not_null_calibrated	-0.0479999999999999
abiotic	osmotic	41.0	0.3902439024390244	0.1023170731707317	0.0	0.2682926829268293	0.0029970029970029	0.0099900099900099	True	0.0099900099900099	0.0049950049950049	True	True	calibrated_robust_module	0.2879268292682927
abiotic	rboh_generator	41.0	0.1463414634146341	0.1182682926829268	0.0	0.2682926829268293	0.4135864135864135	0.495060495060495	False	0.4945054945054944	0.445110445110445	False	False	recurrent_not_null_calibrated	0.0280731707317073
abiotic	ros	41.0	0.3902439024390244	0.1068292682926829	0.0	0.2926829268292683	0.0039960039960039	0.0099900099900099	True	0.0099900099900099	0.0066600066600066	True	True	calibrated_robust_module	0.2834146341463415
biotic	antimicrobial_pr_penetration_defense	16.0	0.5625	0.15975	0.0	0.4375	0.0039960039960039	0.0299700299700299	True	0.0449550449550449	0.0233100233100233	True	True	calibrated_robust_module	0.40275
biotic	defense_programmed_cell_death	16.0	0.375	0.152625	0.0	0.4375	0.0679320679320679	0.1132201132201132	False	0.1327244184387041	0.111317254174397	False	False	context_dependent_module	0.222375
biotic	eti_nlr_signaling	16.0	0.375	0.1875	0.0	0.5	0.1548451548451548	0.1935564435564435	False	0.1373626373626373	0.1748251748251748	False	False	context_dependent_module	0.1875
biotic	indolic_phytoalexin_defense	16.0	0.375	0.1666875	0.0	0.4375	0.0849150849150849	0.121307264164407	False	0.1327244184387041	0.111317254174397	False	False	context_dependent_module	0.2083125
biotic	jasmonate_ethylene_defense	16.0	0.1875	0.1678125	0.0	0.4375	0.4715284715284715	0.4715284715284715	False	0.4405594405594406	0.4705294705294706	False	False	analysis_sensitive_module	0.0196874999999999
biotic	pti_pattern_triggered_immunity	16.0	0.5	0.18825	0.0	0.5	0.0429570429570429	0.0859140859140859	True	0.0499500499500499	0.0419580419580419	True	True	calibrated_robust_module	0.3117499999999999
biotic	salicylic_acid_defense	16.0	0.5625	0.163875	0.0	0.4375	0.0059940059940059	0.0299700299700299	True	0.0499500499500499	0.0233100233100233	True	True	calibrated_robust_module	0.398625
biotic	sugar_transport_resource_reallocation	16.0	0.3125	0.199875	0.0	0.5	0.2647352647352647	0.2941502941502941	False	0.2952602952602953	0.212010212010212	False	False	analysis_sensitive_module	0.112625
biotic	surface_penetration_callose_defense	16.0	0.5625	0.179	0.0	0.5	0.0109890109890109	0.0366300366300366	True	0.0449550449550449	0.0233100233100233	True	True	calibrated_robust_module	0.3835
biotic	wrky_defense_regulation	16.0	0.5	0.1946875	0.0	0.5	0.0389610389610389	0.0859140859140859	True	0.0879120879120879	0.0349650349650349	True	True	calibrated_robust_module	0.3053125
