canonical_study_family_id	arm	primary_inference	analysis_status	response_programmes	study_level_comparisons	evidence_objects	species	stress	organs	lineages	resolutions	phases	public_data_accessions	public_data_urls
CNP0005053	abiotic	True	eligible_for_statistical_analysis	14	112	112	Brassica rapa ssp. chinensis	salt	root	cortex;endodermis_barrier;epidermis;meristem;root_cap;root_hair;unresolved;vascular			CNP0005053;STT0000066	https://db.cngb.org/search/project/CNP0005053/;https://db.cngb.org/stomics/project/STT0000066/
CRA004082	abiotic	True	eligible_for_statistical_analysis	10	48	131	Oryza sativa	salt	leaf;root	cortex;endodermis_barrier;epidermis;fiber_sclerenchyma;mesophyll;parenchyma;vascular			CRA004082	https://ngdc.cncb.ac.cn/gsa/browse/CRA004082
CRA015077	abiotic	True	eligible_for_statistical_analysis	10	47	71	Zea mays	heat	root	cortex;endodermis_barrier;epidermis;meristem;root_cap;vascular			CRA015077	https://ngdc.cncb.ac.cn/gsa/browse/CRA015077
E-MTAB-2115	abiotic	True	eligible_for_statistical_analysis	10	20	40	Arabidopsis thaliana	dehydration;salt	whole_seedling	not_applicable			E-MTAB-2115	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-2115
GSE102749	abiotic	True	eligible_for_statistical_analysis	10	10	60	Glycine max	drought	primary_root_tip_growth_zone	not_applicable			GSE102749	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102749
GSE117296	abiotic	True	eligible_for_statistical_analysis	10	8	96	Arabidopsis thaliana	high_light	leaf	not_applicable			GSE117296	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117296
GSE119382	abiotic	True	eligible_for_statistical_analysis	10	10	40	Arabidopsis thaliana	drought	mature_root	not_applicable			GSE119382;GSE119383	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE119382;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE119383
GSE133921	abiotic	True	eligible_for_statistical_analysis	10	10	150	Triticum aestivum	drought	root_apex	not_applicable			GSE133921	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133921
GSE14578	abiotic	True	eligible_for_statistical_analysis	10	72	128	Arabidopsis thaliana	hypoxia	root;shoot	cortex;endodermis_barrier;epidermis;guard;meristem;mesophyll;vascular			GSE14493;GSE14502;GSE14578	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14493;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14502;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14578
GSE180100	abiotic	True	eligible_for_statistical_analysis	10	36	210	Oryza sativa	submergence;submergence_recovery;water_deficit;water_deficit_recovery;waterlogging;waterlogging_recovery	root	not_applicable			GSE180100	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180100
GSE198394	abiotic	True	eligible_for_statistical_analysis	12	60	247	Arabidopsis thaliana	drought	root	cortex;endodermis_barrier;epidermis;root_cap;root_hair			GSE198394;PRJNA814870;ZENODO:17411065	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198394;https://www.ncbi.nlm.nih.gov/bioproject/PRJNA814870;https://zenodo.org/records/17411065
